ZONA_O,H_SAIDA,FE_VIA
CEASA,7,1816
CEASA,8,584
CEASA,9,96
CEASA,10,286
CEASA,11,619
CEASA,12,3214
CEASA,13,1658
CEASA,14,1564
CEASA,15,2170
CEASA,16,1706
CEASA,17,5127
CEASA,18,6459
CEASA,19,1801
CEASA,20,675
CEASA,21,731
CEASA,22,446
CEASA,23,16
Cabuçu,4,569
Cabuçu,5,3097
Cabuçu,6,14158
Cabuçu,7,8805
Cabuçu,8,2432
Cabuçu,9,1192
Cabuçu,10,3165
Cabuçu,11,1862
Cabuçu,12,13454
Cabuçu,13,10161
Cabuçu,14,5179
Cabuçu,15,2429
Cabuçu,16,900
Cabuçu,17,13102
Cabuçu,18,5707
Cabuçu,19,885
Cabuçu,21,1910
Cabuçu,22,817
Cabuçu,23,1317
Cachoeirinha,1,531
Cachoeirinha,5,2616
Cachoeirinha,6,24216
Cachoeirinha,7,12421
Cachoeirinha,8,4007
Cachoeirinha,9,3345
Cachoeirinha,10,5242
Cachoeirinha,11,7781
Cachoeirinha,12,15750
Cachoeirinha,13,21690
Cachoeirinha,14,4270
Cachoeirinha,15,4312
Cachoeirinha,16,12522
Cachoeirinha,17,13583
Cachoeirinha,18,20350
Cachoeirinha,19,3709
Cachoeirinha,20,489
Cachoeirinha,21,787
Cachoeirinha,22,1487
Cachoeirinha,23,1390
